h3_index,center_lat,center_lon,h3_lat,h3_lon,violation_count,unique_vehicles,avg_severity,avg_vehicle_weight,multi_violation_pct,top_violation,top_vehicle,police_station,peak_hour,primary_road,highway_type,violations_per_day,boundary,avg_delta_v,avg_delta_v_pct,avg_time_loss,cpi,risk_level,enforcement_priority,velocity_recovery_per_violation
8861892f5bfffff,13.0154005,77.7094379,13.015491773626433,77.71328229110745,1,1,0.4914,0.7,1.0,PARKING IN A MAIN ROAD,CAR,K.R. Pura,23,Ayyappa Nagar - Battarahalli Road,secondary,0.006666666666666667,"[(13.012981015933011, 77.71745798908584), (13.017971948343803, 77.7175440098811), (13.020482572489056, 77.71336824099512), (13.018002337552124, 77.70910671974838), (13.01301163761193, 77.70902084362781), (13.010500940135737, 77.71319634408503)]",13.49530162412993,30.0,0.5716275137187289,0.3267,Critical,0.4001775147928994,13.49530162412993
8860145911fffff,13.0386477,77.5209323,13.03854324181081,77.52401826336072,1,1,1.1465999999999998,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Peenya,7,unknown,tertiary,0.006666666666666667,"[(13.036038804905898, 77.5281869521916), (13.041024330228241, 77.52826973582441), (13.043528632535807, 77.52410097628147), (13.041047484287821, 77.51984970281626), (13.036062193308021, 77.51976706335715), (13.033557816231518, 77.52393555319537)]",11.995823665893273,30.000000000000004,0.6430809529335699,0.3672,Critical,0.3779552925706772,11.995823665893273
88601459cdfffff,13.0336973,77.5126741,13.031100216255316,77.51126548081291,1,1,0.18720000000000003,0.4,1.0,PARKING IN A MAIN ROAD,SCOOTER,Peenya,4,unknown,tertiary,0.006666666666666667,"[(13.028595958805678, 77.515433572579), (13.033581184772135, 77.51551613583436), (13.036085307617991, 77.5113479733737), (13.033604279300599, 77.50709751743756), (13.028619287809775, 77.5070150983134), (13.026115090158601, 77.51118299100001)]",11.995823665893273,30.000000000000004,0.6430809529335699,0.2713,High,0.3779552925706772,11.995823665893273
8861892037fffff,12.9647547,77.7616572,12.962900947131931,77.75878831753252,1,1,0.14040000000000002,0.3,1.0,PARKING IN A MAIN ROAD,MOTOR CYCLE,Whitefield,4,2nd Main Road,tertiary,0.006666666666666667,"[(12.960387394825709, 77.76296505108854), (12.965379964056387, 77.7630518376194), (12.967893383404485, 77.75887503313106), (12.965414306188327, 77.75461171015418), (12.960421969013417, 77.75452506837308), (12.957908476996549, 77.75870160482482)]",11.970765661252901,30.000000000000004,0.6444270928513286,0.2666,High,0.3775839336290502,11.970765661252901
88618920c5fffff,12.9340958,77.7432866,12.933016773244269,77.74139129396549,1,1,0.3276,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Whitefield,2,Balagere Road,tertiary,0.006666666666666667,"[(12.930502930519198, 77.74556695531271), (12.935495237327837, 77.74565343506896), (12.938008947226772, 77.74147770282185), (12.935530422900564, 77.7372157589239), (12.93053834834635, 77.73712942384185), (12.928024565861596, 77.74130488798926)]",11.874709976798144,30.000000000000004,0.649639926310501,0.2853,Critical,0.37616039101947996,11.874709976798144
8860145ac3fffff,12.9227144,77.4946422,12.926461119264168,77.49270432776233,1,1,0.8644999999999999,0.5,1.0,PARKING NEAR ROAD CROSSING,JEEP,Kengeri,6,unknown,tertiary,0.006666666666666667,"[(12.923954549985629, 77.4968702807346), (12.928940019602667, 77.49695249822963), (12.931446454936342, 77.49278647463127), (12.928967494877257, 77.48853850325409), (12.923982260006316, 77.48845642974067), (12.921475750446278, 77.49262218362863)]",9.996519721577727,25.0,0.5001740745038875,0.324,Critical,0.3483256629410476,9.996519721577727
8860145a45fffff,12.9356357,77.5612034,12.933697726689793,77.56437657300647,1,1,0.4914,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Basavanagudi,22,13th Cross Road,residential,0.006666666666666667,"[(12.931189204308177, 77.5685454109816), (12.936176616018484, 77.56862885743395), (12.938685004738101, 77.56445994875061), (12.936206055535504, 77.56020786288062), (12.931218877851954, 77.56012456061592), (12.928710415342072, 77.56429320003936)]",8.996867749419955,30.00000000000001,0.8574412705780932,0.2392,Medium,0.3335108481262328,8.996867749419955
8861892463fffff,12.899298054447414,77.64525443970362,12.895982330445825,77.64377575549281,1,1,1.1465999999999998,0.7,1.0,PARKING IN A MAIN ROAD,CAR,HSR Layout,7,4th Cross Road,residential,0.006666666666666667,"[(12.893470402473493, 77.6479471568738), (12.89846028122915, 77.64803195307799), (12.900972076181313, 77.64386048091951), (12.898494065373669, 77.63960448123957), (12.893504419880962, 77.63951982940713), (12.890992551930685, 77.64369103288865)]",8.996867749419955,30.00000000000001,0.8574412705780932,0.3047,Critical,0.3335108481262328,8.996867749419955
886189252dfffff,12.9631699,77.6753629,12.96323178994276,77.67442737492004,1,1,1.4742,0.9,1.0,PARKING IN A MAIN ROAD,PASSENGER AUTO,HAL Old Airport,9,unknown,residential,0.006666666666666667,"[(12.960720773172513, 77.67860086906153), (12.965711018030378, 77.67868620913166), (12.968221901443263, 77.67451264414859), (12.965742613239446, 77.67025400769445), (12.960752601284351, 77.67016881214339), (12.958241644628016, 77.67434210853314)]",8.996867749419955,30.00000000000001,0.8574412705780932,0.3375,Critical,0.3335108481262328,8.996867749419955
8860145811fffff,12.9879714,77.4944637,12.986282938212787,77.49369027075385,1,1,0.3276,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Kamakshipalya,2,BWSSB Pipeline Track,residential,0.006666666666666667,"[(12.983777978593476, 77.49785707139628), (12.988763045020228, 77.49793932175325), (12.991267870272864, 77.4937724504562), (12.988787703719542, 77.48952359861686), (12.983802871980506, 77.48944149230017), (12.981297972104972, 77.49360809378837)]",8.996867749419955,30.00000000000001,0.8574412705780932,0.2228,Medium,0.3335108481262328,8.996867749419955
886016970dfffff,13.150643,77.6180094,13.150501729845697,77.61436764572184,1,1,1.2285000000000001,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Chikkajala,20,unknown,residential,0.006666666666666667,"[(13.147997651162099, 77.61854135685135), (13.152984827502522, 77.6186257189649), (13.155488771214648, 77.61445193697291), (13.153005613490219, 77.6101940621867), (13.148018670495086, 77.61010984460239), (13.145514651876889, 77.61428335728084)]",8.915429234338749,30.000000000000004,0.8652736185234138,0.3129,Critical,0.33230393156594495,8.915429234338749
886016906bfffff,13.1999178,77.7086282,13.202633231194877,77.7122861500164,1,1,0.3276,0.7,1.0,PARKING IN A MAIN ROAD,CAR,Devanahalli Airport,1,unknown,residential,0.006666666666666667,"[(13.200127633337171, 77.71646434642402), (13.205117097976338, 77.71655040242703), (13.207622560950142, 77.71237213502673), (13.205138633870906, 77.7081080803907), (13.200149401550913, 77.7080221692355), (13.197643863988638, 77.71220016787426)]",8.88723897911833,30.0,0.8680182599355534,0.2228,Medium,0.3318861527566146,8.88723897911833
8860169107fffff,13.2645843,77.7187993,13.262483690518334,77.72176254470504,1,1,0.4680000000000001,1.0,1.0,PARKING IN A MAIN ROAD,LGV,Devanahalli Airport,0,unknown,residential,0.006666666666666667,"[(13.259979457632044, 77.72594191773935), (13.264968699577269, 77.72602815313034), (13.26747279720022, 77.72184870906553), (13.264987727797479, 77.71758329841889), (13.259998718021675, 77.717497207958), (13.257494545476852, 77.72167638321939)]",8.88723897911833,30.0,0.8680182599355534,0.2368,Medium,0.3318861527566146,8.88723897911833
8861892565fffff,12.9549667,77.6862483,12.955698159330836,77.6869482379382,1,1,0.144,0.4,0.0,WRONG PARKING,SCOOTER,HAL Old Airport,21,Varthur Road,primary,0.006666666666666667,"[(12.953186562319235, 77.69112211259636), (12.958177207023978, 77.69120766521141), (12.960688670790839, 77.6870337197016), (12.958209562958562, 77.68277449008042), (12.95321915103711, 77.68268908201176), (12.950707614162386, 77.68686275902361)]",7.497389791183295,15.000000000000002,0.21183843155458779,0.2719,High,0.11128862590401052,7.497389791183295
8860169699fffff,13.0807056,77.5021472,13.083472744791461,77.49950259917419,1,1,0.324,0.9,0.0,WRONG PARKING,GOODS AUTO,Chikkabanavara,21,Hesaraghatta Road,primary,0.006666666666666667,"[(13.08097028434135, 77.50367094189755), (13.085954789767428, 77.5037533177738), (13.088457115187152, 77.49958490434477), (13.085975010415051, 77.49533438498709), (13.080990739536709, 77.49525215325833), (13.078488338880597, 77.4994202967456)]",7.497389791183295,15.000000000000002,0.21183843155458779,0.2899,Critical,0.11128862590401052,7.497389791183295
8861892081fffff,12.9389956,77.7173207,12.940591547372376,77.72042883104749,1,1,0.18,0.5,0.0,WRONG PARKING,LORRY/GOODS VEHICLE,Whitefield,23,Inner Peripheral Ring Road,primary,0.006666666666666667,"[(12.938078537313, 77.72460378959958), (12.943070213155725, 77.72468991201907), (12.94558309023596, 77.72051488258612), (12.943104364250228, 77.71625399899071), (12.93811292086668, 77.71616802119523), (12.935599971007388, 77.7203427823769)]",7.497389791183295,15.000000000000002,0.21183843155458779,0.2755,High,0.11128862590401052,7.497389791183295
8861892181fffff,12.9894244,77.7487492,12.992887982337212,77.75086812657474,1,1,0.36,1.0,0.0,WRONG PARKING,LGV,Mahadevapura,23,Whitefield Road,primary,0.006666666666666667,"[(12.990375482081014, 77.75504496238905), (12.995367614734791, 77.75513162150291), (12.997879981781036, 77.75095471475099), (12.99540028909521, 77.74669141703208), (12.9904083885528, 77.74660490267452), (12.98789594858252, 77.75078154128528)]",7.398201856148496,15.00000000000001,0.214678556357272,0.2935,Critical,0.10981866342673699,7.398201856148496
8860145817fffff,12.9972224,77.4895833,12.993772501375723,77.48960570766802,1,1,0.588,0.7,0.0,WRONG PARKING,CAR,Kamakshipalya,6,Herohalli Main Road,secondary,0.006666666666666667,"[(12.991267870272864, 77.4937724504562), (12.996252768210063, 77.49385463289556), (12.998757264873957, 77.4896878194538), (12.996276938299458, 77.48543909342682), (12.99129227508435, 77.4853570550234), (12.988787703719542, 77.48952359861686)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2913,Critical,0.10017751479289945,6.747650812064968
8861892711fffff,12.8781824,77.671873,12.880907867993626,77.66880606935062,1,1,0.18,0.5,0.0,WRONG PARKING,OTHERS,Electronic City,22,Central Jail Road,secondary,0.006666666666666667,"[(12.87839478238403, 77.67297823269129), (12.883385458471185, 77.6730634536311), (12.885898411286245, 77.66889121949274), (12.883420760738717, 77.66463403290712), (12.878430317675367, 77.6645489563938), (12.875917292133497, 77.66872092204538)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2505,High,0.10017751479289945,6.747650812064968
8860145925fffff,13.075221,77.5577866,13.075855835485397,77.55411721729631,1,1,0.33599999999999997,0.4,0.0,WRONG PARKING,SCOOTER,Yelahanka,6,Vidyaranyapura Road,secondary,0.006666666666666667,"[(13.073351518041113, 77.55828758128935), (13.078337599229627, 77.55837089053102), (13.080841781951515, 77.55420045577576), (13.078359958298064, 77.54994698135971), (13.073374111120733, 77.54986381641035), (13.07086985358351, 77.5540339815905)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2661,High,0.10017751479289945,6.747650812064968
886014593dfffff,13.0637795,77.5342775,13.060943590495096,77.53702230640657,1,1,0.18,0.5,0.0,WRONG PARKING,OTHERS,Jalahalli,21,unknown,secondary,0.006666666666666667,"[(13.058439377922877, 77.54119180423722), (13.063425096951267, 77.54127481661943), (13.065929174827456, 77.53710524805214), (13.063447608504278, 77.53285293676826), (13.058462123670036, 77.5327700686169), (13.055957970962659, 77.53693936752438)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2505,High,0.10017751479289945,6.747650812064968
8861892f57fffff,13.0305764,77.7169953,13.030464066028376,77.71354014936682,1,1,0.096,0.4,0.0,WRONG PARKING,SCOOTER,K.R. Pura,1,unknown,secondary,0.006666666666666667,"[(13.027953709085132, 77.71771606007516), (13.032944537264875, 77.71780208947425), (13.035454760554297, 77.71362610785117), (13.032974229091336, 77.70936436528787), (13.027983633367224, 77.70927848057826), (13.025473336648167, 77.7134541937482)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2421,Medium,0.10017751479289945,6.747650812064968
886014511dfffff,12.8838377,77.5019219,12.881561774480613,77.50037815576403,1,1,0.21600000000000003,0.9,0.0,WRONG PARKING,PASSENGER AUTO,Thalagattapura,1,100 Feet Road,secondary,0.006666666666666667,"[(12.879053748265905, 77.50454380057162), (12.884039747875521, 77.50462613739414), (12.886547640501847, 77.50046042197256), (12.884069607387666, 77.4962126393167), (12.879083842483295, 77.49613044645518), (12.876575875985766, 77.50029589229439)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2541,High,0.10017751479289945,6.747650812064968
8860145ad1fffff,12.9150156,77.4808402,12.919024664940526,77.47996145111618,1,1,0.108,0.3,0.0,WRONG PARKING,MOTOR CYCLE,Kengeri,23,unknown,secondary,0.006666666666666667,"[(12.916518274787808, 77.48412680674907), (12.921503441881116, 77.48420880418513), (12.924009698082685, 77.48004337794362), (12.921530861451181, 77.47579622405125), (12.916545929236536, 77.47571437055433), (12.914039598772634, 77.47987952701646)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2433,Medium,0.10017751479289945,6.747650812064968
8860145ae5fffff,12.9609941,77.5097791,12.95631971982018,77.51002842207086,1,1,0.588,0.7,0.0,WRONG PARKING,CAR,Jnanabharathi,6,Mallathahalli Road,secondary,0.006666666666666667,"[(12.953813447525416, 77.51419545370368), (12.958799186083747, 77.51427797571944), (12.961305324301408, 77.51011087342772), (12.958825798269157, 77.50586151877711), (12.953840294260655, 77.50577914081917), (12.951334081732439, 77.50994597345982)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2913,Critical,0.10017751479289945,6.747650812064968
88601459c5fffff,13.036383,77.5043031,13.038589236022318,77.50717993930718,1,1,0.144,0.4,0.0,WRONG PARKING,SCOOTER,Peenya,21,Andrahalli Main Road,secondary,0.006666666666666667,"[(13.036085307617991, 77.5113479733737), (13.041070364171532, 77.5114304686825), (13.043574157899844, 77.5072623639225), (13.041092969955775, 77.50301203367302), (13.03610814791217, 77.50292968249106), (13.033604279300599, 77.50709751743756)]",6.747650812064968,15.000000000000007,0.23537603506065313,0.2469,High,0.10017751479289945,6.747650812064968
8860145a55fffff,12.9282578,77.5462486,12.926290664253605,77.5432022402675,1,1,0.33599999999999997,0.4,0.0,WRONG PARKING,SCOOTER,Banashankari,6,unknown,tertiary,0.006666666666666667,"[(12.923782574804537, 77.54737015587311), (12.92876945114062, 77.54745323774935), (12.93127740688165, 77.54328525146215), (12.92879856016807, 77.53903445268865), (12.923811918075714, 77.53895151493438), (12.921303888451076, 77.54311923183744)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2411,Medium,0.08906640368178828,5.9979118329466345
